Hemisphere,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
Northern,1880,-0.34,-0.5,-0.22,-0.28,-0.04,-0.14,-0.16,-0.24,-0.21,-0.3,-0.41,-0.38,-0.27,,,-0.18,-0.18,-0.31
Northern,1881,-0.3,-0.21,-0.03,0.02,0.05,-0.31,0.1,-0.02,-0.25,-0.41,-0.35,-0.21,-0.16,-0.17,-0.3,0.01,-0.08,-0.34
Northern,1882,0.28,0.23,0.03,-0.3,-0.23,-0.28,-0.26,-0.13,-0.23,-0.51,-0.31,-0.66,-0.2,-0.16,0.1,-0.17,-0.22,-0.35
Northern,1883,-0.56,-0.65,-0.14,-0.27,-0.23,-0.11,-0.01,-0.2,-0.3,-0.14,-0.41,-0.14,-0.26,-0.31,-0.62,-0.21,-0.11,-0.28
Northern,1884,-0.16,-0.1,-0.63,-0.58,-0.35,-0.4,-0.43,-0.5,-0.43,-0.43,-0.56,-0.46,-0.42,-0.39,-0.13,-0.52,-0.44,-0.47
Northern,1885,-1,-0.45,-0.22,-0.47,-0.58,-0.44,-0.33,-0.4,-0.38,-0.36,-0.37,-0.1,-0.42,-0.45,-0.64,-0.42,-0.39,-0.37
Northern,1886,-0.74,-0.83,-0.71,-0.36,-0.32,-0.36,-0.13,-0.42,-0.32,-0.3,-0.38,-0.2,-0.42,-0.41,-0.55,-0.46,-0.3,-0.33
Northern,1887,-1.07,-0.69,-0.42,-0.37,-0.24,-0.19,-0.23,-0.53,-0.19,-0.48,-0.26,-0.42,-0.42,-0.41,-0.65,-0.34,-0.32,-0.31
Northern,1888,-0.48,-0.6,-0.63,-0.21,-0.14,-0.02,0.01,-0.2,-0.18,-0.03,0,-0.22,-0.22,-0.24,-0.5,-0.33,-0.07,-0.07
Northern,1889,-0.26,0.31,-0.02,0.17,-0.03,-0.06,-0.07,-0.2,-0.3,-0.41,-0.61,-0.54,-0.17,-0.14,-0.06,0.04,-0.11,-0.44
Northern,1890,-0.63,-0.56,-0.46,-0.24,-0.35,-0.15,-0.23,-0.38,-0.34,-0.09,-0.62,-0.46,-0.38,-0.38,-0.58,-0.35,-0.25,-0.35
Northern,1891,-0.47,-0.68,-0.16,-0.35,-0.15,-0.12,-0.12,-0.12,-0.08,-0.28,-0.52,-0.03,-0.26,-0.29,-0.53,-0.22,-0.12,-0.29
Northern,1892,-0.49,-0.15,-0.67,-0.45,-0.23,-0.05,-0.37,-0.32,-0.2,-0.28,-0.82,-0.65,-0.39,-0.34,-0.22,-0.45,-0.25,-0.43
Northern,1893,-1.52,-0.97,-0.31,-0.3,-0.43,-0.18,-0.13,-0.33,-0.28,-0.28,-0.33,-0.6,-0.47,-0.48,-1.05,-0.35,-0.21,-0.3
Northern,1894,-0.91,-0.42,-0.21,-0.54,-0.26,-0.4,-0.2,-0.26,-0.32,-0.27,-0.47,-0.35,-0.39,-0.41,-0.64,-0.34,-0.29,-0.35
Northern,1895,-0.69,-0.81,-0.49,-0.18,-0.29,-0.2,-0.18,-0.26,-0.05,-0.09,-0.12,-0.22,-0.3,-0.31,-0.62,-0.32,-0.21,-0.09
Northern,1896,-0.35,-0.18,-0.49,-0.6,-0.16,0.08,0.01,-0.1,-0.12,0.05,-0.2,-0.21,-0.19,-0.19,-0.25,-0.42,-0.01,-0.09
Northern,1897,-0.4,-0.42,-0.4,-0.05,0.14,-0.06,0.04,-0.06,-0.06,-0.14,-0.26,-0.26,-0.16,-0.16,-0.34,-0.1,-0.03,-0.15
Northern,1898,0.07,-0.42,-0.78,-0.27,-0.26,-0.06,-0.09,-0.16,-0.16,-0.36,-0.5,-0.25,-0.27,-0.27,-0.21,-0.43,-0.1,-0.34
Northern,1899,-0.11,-0.64,-0.57,-0.23,-0.23,-0.34,-0.16,-0.06,-0.04,0.05,0.38,-0.45,-0.2,-0.18,-0.34,-0.34,-0.19,0.13
Northern,1900,-0.6,-0.13,0.07,-0.09,-0.02,-0.08,-0.1,-0.07,-0.01,0.25,-0.1,-0.01,-0.08,-0.11,-0.4,-0.01,-0.09,0.05
Northern,1901,-0.32,-0.08,0.29,0.12,-0.11,0.02,0.03,-0.15,-0.26,-0.31,-0.21,-0.39,-0.11,-0.08,-0.14,0.1,-0.03,-0.26
Northern,1902,-0.15,0.03,-0.37,-0.37,-0.37,-0.34,-0.31,-0.26,-0.32,-0.28,-0.43,-0.58,-0.31,-0.3,-0.17,-0.37,-0.31,-0.34
Northern,1903,-0.2,0.13,-0.12,-0.44,-0.41,-0.43,-0.43,-0.53,-0.48,-0.47,-0.41,-0.55,-0.36,-0.36,-0.22,-0.33,-0.46,-0.45
Northern,1904,-0.76,-0.58,-0.39,-0.49,-0.42,-0.47,-0.58,-0.53,-0.62,-0.37,-0.07,-0.33,-0.47,-0.48,-0.63,-0.43,-0.52,-0.36
Northern,1905,-0.41,-0.81,-0.22,-0.45,-0.28,-0.26,-0.2,-0.22,-0.18,-0.25,0.1,-0.16,-0.28,-0.29,-0.52,-0.31,-0.23,-0.11
Northern,1906,-0.55,-0.52,-0.19,0.05,-0.24,-0.11,-0.25,-0.15,-0.23,-0.16,-0.39,0.04,-0.23,-0.24,-0.41,-0.13,-0.17,-0.26
Northern,1907,-0.57,-0.71,-0.3,-0.44,-0.57,-0.49,-0.39,-0.37,-0.39,-0.18,-0.54,-0.56,-0.46,-0.41,-0.41,-0.44,-0.42,-0.37
Northern,1908,-0.53,-0.27,-0.69,-0.47,-0.29,-0.3,-0.35,-0.56,-0.3,-0.44,-0.62,-0.54,-0.45,-0.45,-0.46,-0.48,-0.4,-0.45
Northern,1909,-0.92,-0.45,-0.66,-0.64,-0.48,-0.5,-0.43,-0.34,-0.36,-0.32,-0.11,-0.56,-0.48,-0.48,-0.64,-0.59,-0.42,-0.26
Northern,1910,-0.35,-0.37,-0.49,-0.4,-0.28,-0.43,-0.36,-0.38,-0.42,-0.3,-0.57,-0.8,-0.43,-0.41,-0.43,-0.39,-0.39,-0.43
Northern,1911,-0.69,-0.57,-0.63,-0.44,-0.44,-0.32,-0.35,-0.43,-0.37,-0.18,-0.19,-0.29,-0.41,-0.45,-0.69,-0.5,-0.37,-0.25
Northern,1912,-0.34,-0.16,-0.59,-0.15,-0.11,-0.12,-0.51,-0.76,-0.79,-0.83,-0.5,-0.55,-0.45,-0.43,-0.26,-0.28,-0.46,-0.71
Northern,1913,-0.55,-0.64,-0.46,-0.5,-0.54,-0.48,-0.5,-0.45,-0.42,-0.39,-0.13,0.12,-0.41,-0.47,-0.58,-0.5,-0.48,-0.31
Northern,1914,0.18,-0.1,-0.35,-0.37,-0.18,-0.22,-0.33,-0.27,-0.29,0,-0.21,-0.04,-0.18,-0.17,0.07,-0.3,-0.27,-0.17
Northern,1915,-0.26,-0.08,-0.23,0.08,-0.01,-0.11,-0.08,-0.15,-0.2,-0.26,-0.02,-0.25,-0.13,-0.11,-0.13,-0.05,-0.12,-0.16
Northern,1916,-0.08,-0.16,-0.38,-0.34,-0.35,-0.49,-0.33,-0.36,-0.48,-0.34,-0.46,-1.13,-0.41,-0.33,-0.16,-0.35,-0.39,-0.43
Northern,1917,-0.53,-0.68,-0.74,-0.64,-0.72,-0.48,-0.32,-0.39,-0.3,-0.62,-0.31,-1.05,-0.57,-0.57,-0.78,-0.7,-0.4,-0.41
Northern,1918,-0.69,-0.45,-0.24,-0.58,-0.48,-0.44,-0.33,-0.36,-0.25,-0.04,-0.21,-0.55,-0.39,-0.43,-0.73,-0.44,-0.38,-0.17
Northern,1919,-0.37,-0.41,-0.38,-0.23,-0.41,-0.39,-0.33,-0.3,-0.19,-0.08,-0.47,-0.55,-0.34,-0.34,-0.44,-0.34,-0.34,-0.25
Northern,1920,-0.15,-0.28,0.01,-0.2,-0.21,-0.25,-0.25,-0.32,-0.35,-0.39,-0.45,-0.71,-0.3,-0.28,-0.33,-0.14,-0.27,-0.4
Northern,1921,0.19,-0.08,-0.11,-0.17,-0.24,-0.15,-0.03,-0.29,-0.17,0,-0.09,-0.13,-0.1,-0.15,-0.2,-0.17,-0.15,-0.09
Northern,1922,-0.37,-0.62,-0.11,-0.16,-0.19,-0.15,-0.28,-0.36,-0.43,-0.32,-0.13,-0.14,-0.27,-0.27,-0.37,-0.15,-0.26,-0.29
Northern,1923,-0.18,-0.46,-0.39,-0.52,-0.39,-0.23,-0.28,-0.27,-0.17,0.07,0.16,0.1,-0.21,-0.23,-0.26,-0.43,-0.26,0.02
Northern,1924,-0.28,-0.21,0.03,-0.28,-0.05,-0.19,-0.21,-0.26,-0.22,-0.23,0.11,-0.36,-0.18,-0.14,-0.13,-0.1,-0.22,-0.11
Northern,1925,-0.28,-0.38,-0.23,-0.16,-0.21,-0.25,-0.25,-0.18,-0.04,-0.08,0.22,0.23,-0.13,-0.18,-0.34,-0.2,-0.22,0.03
Northern,1926,0.53,0.19,0.37,-0.11,-0.23,-0.19,-0.19,-0.05,-0.02,0.07,0.17,-0.29,0.02,0.06,0.32,0.01,-0.15,0.07
Northern,1927,-0.28,-0.08,-0.46,-0.27,-0.12,-0.13,-0.07,-0.16,0.03,0.24,0.09,-0.37,-0.13,-0.13,-0.22,-0.28,-0.12,0.12
Northern,1928,0.27,0.09,-0.23,-0.31,-0.17,-0.31,-0.1,-0.19,-0.16,-0.08,0.06,-0.04,-0.1,-0.12,0,-0.24,-0.2,-0.06
Northern,1929,-0.56,-0.79,-0.19,-0.35,-0.27,-0.39,-0.35,-0.19,-0.2,-0.01,-0.02,-0.65,-0.33,-0.28,-0.46,-0.27,-0.31,-0.07
Northern,1930,-0.11,-0.19,0.11,-0.15,-0.2,-0.11,-0.03,0.02,-0.02,0.02,0.45,0.08,-0.01,-0.07,-0.32,-0.08,-0.04,0.15
Northern,1931,0.01,-0.23,-0.06,-0.2,-0.14,0.15,0.08,0.09,0.17,0.36,0.26,0.1,0.05,0.05,-0.05,-0.13,0.11,0.26
Northern,1932,0.39,-0.18,-0.2,0.1,-0.09,-0.14,-0.14,-0.08,0.1,0.14,-0.32,-0.21,-0.05,-0.03,0.1,-0.06,-0.12,-0.03
Northern,1933,-0.18,-0.3,-0.31,-0.17,-0.26,-0.31,-0.13,-0.14,-0.28,-0.17,-0.24,-0.55,-0.25,-0.23,-0.23,-0.25,-0.2,-0.23
Northern,1934,-0.15,0.33,-0.27,-0.29,0.08,-0.01,-0.03,-0.1,-0.14,0.13,0.27,0.18,0,-0.06,-0.12,-0.16,-0.05,0.09
Northern,1935,-0.39,0.56,0.03,-0.35,-0.29,-0.15,-0.04,-0.07,-0.06,0.12,-0.32,-0.17,-0.09,-0.06,0.12,-0.2,-0.09,-0.09
Northern,1936,-0.29,-0.5,-0.13,-0.06,-0.01,0.04,0.09,0.03,0.07,0.07,0.15,0.15,-0.03,-0.06,-0.32,-0.06,0.05,0.09
Northern,1937,0.09,0.24,-0.23,-0.07,0.12,0.14,0.14,0.15,0.29,0.33,0.25,0,0.12,0.13,0.16,-0.06,0.15,0.29
Northern,1938,0.35,0.28,0.34,0.31,0.03,-0.07,-0.03,0.08,0.15,0.32,0.31,-0.13,0.16,0.17,0.21,0.22,0,0.26
Northern,1939,0.03,-0.01,-0.24,-0.07,0.01,0,0.05,0.08,0.13,0.08,0.24,0.79,0.09,0.01,-0.04,-0.1,0.04,0.15
Northern,1940,-0.1,0.14,0.03,0.28,0.16,0.16,0.15,0.07,0.27,0.29,0.3,0.36,0.18,0.21,0.27,0.16,0.13,0.29
Northern,1941,0.18,0.47,0.12,0.12,0.24,0.21,0.25,0.19,0.1,0.5,0.18,0.19,0.23,0.24,0.34,0.16,0.21,0.26
Northern,1942,0.4,-0.09,-0.01,0.09,0.16,0.1,0,-0.08,0.11,0.28,0.26,0.27,0.13,0.12,0.17,0.08,0.01,0.22
Northern,1943,-0.1,0.38,0,0.31,0.23,-0.07,-0.02,0.1,0.14,0.46,0.36,0.37,0.18,0.17,0.19,0.18,0,0.32
Northern,1944,0.62,0.43,0.31,0.18,0.23,0.17,0.14,0.16,0.35,0.44,0.19,-0.01,0.27,0.3,0.48,0.24,0.16,0.33
Northern,1945,0.11,-0.06,0.09,0.29,0.08,0.08,0.06,0.28,0.2,0.24,0.09,-0.21,0.1,0.12,0.01,0.15,0.14,0.18
Northern,1946,0.34,0.09,0.12,0.31,0.03,-0.05,-0.04,-0.1,-0.04,0.02,0.07,-0.45,0.03,0.05,0.07,0.16,-0.06,0.02
Northern,1947,-0.04,-0.04,0.28,0.23,0.06,0,-0.03,-0.04,-0.01,0.41,0.19,-0.05,0.08,0.05,-0.18,0.19,-0.02,0.2
Northern,1948,0.3,-0.15,-0.28,-0.03,0.17,0.04,0.01,0.03,-0.03,0.08,0.04,-0.39,-0.02,0.01,0.04,-0.05,0.03,0.03
Northern,1949,0.23,-0.09,0.04,-0.03,0.01,-0.2,-0.11,-0.04,-0.1,0.07,0.05,-0.14,-0.03,-0.05,-0.08,0.01,-0.12,0.01
Northern,1950,-0.29,-0.27,0.06,-0.22,-0.04,-0.06,-0.18,-0.2,-0.09,-0.06,-0.33,-0.13,-0.15,-0.15,-0.23,-0.07,-0.15,-0.16
Northern,1951,-0.36,-0.52,-0.18,0.06,0.17,-0.02,0.08,0.22,0.34,0.29,0.08,0.38,0.04,0,-0.33,0.02,0.09,0.23
Northern,1952,0.17,0.17,-0.22,0.17,0.15,0.16,0.14,0.07,0.14,-0.01,-0.21,0.01,0.06,0.09,0.24,0.03,0.12,-0.03
Northern,1953,0.24,0.37,0.25,0.41,0.24,0.25,0.21,0.18,0.17,0.27,0.08,0.22,0.24,0.22,0.2,0.3,0.22,0.17
Northern,1954,-0.24,0,-0.16,-0.01,-0.07,-0.04,-0.11,-0.01,0.09,0.13,0.34,-0.11,-0.02,0.01,-0.01,-0.08,-0.05,0.19
Northern,1955,0.42,-0.13,-0.43,-0.24,-0.13,-0.1,-0.05,0.06,-0.02,0.12,-0.34,-0.29,-0.09,-0.08,0.06,-0.27,-0.03,-0.08
Northern,1956,-0.04,-0.32,-0.23,-0.26,-0.3,-0.2,-0.2,-0.28,-0.32,-0.28,-0.26,-0.1,-0.23,-0.25,-0.22,-0.27,-0.23,-0.29
Northern,1957,-0.14,-0.06,-0.1,-0.1,-0.06,0.12,0.11,0.16,0.12,0.06,0.12,0.24,0.04,0.01,-0.1,-0.08,0.13,0.1
Northern,1958,0.68,0.28,0.16,0.02,0.12,0.04,0.04,0.13,0.07,0.08,0.03,0.18,0.15,0.16,0.4,0.1,0.07,0.06
Northern,1959,0.24,0.16,0.33,0.22,0.04,0.14,0.05,0.09,0.13,-0.04,0.02,0.1,0.12,0.13,0.19,0.19,0.09,0.04
Northern,1960,0.15,0.42,-0.4,-0.13,0.03,0.19,0.09,0.11,0.12,0.05,-0.08,0.39,0.08,0.05,0.22,-0.16,0.13,0.03
Northern,1961,0.17,0.29,0.22,0.14,0.07,0.18,0.06,0.05,-0.02,-0.04,0.08,-0.17,0.09,0.13,0.29,0.14,0.09,0.01
Northern,1962,0.28,0.36,0.3,0.22,0.02,-0.13,0.1,0.04,-0.02,0.13,0.12,0.1,0.13,0.1,0.16,0.18,0,0.08
Northern,1963,0.07,0.5,-0.11,0.04,-0.05,-0.04,0.1,0.14,0.13,0.42,0.43,0.02,0.14,0.14,0.22,-0.04,0.07,0.33
Northern,1964,-0.05,-0.03,-0.32,-0.3,-0.1,-0.09,-0.13,-0.23,-0.28,-0.31,-0.22,-0.27,-0.19,-0.17,-0.02,-0.24,-0.15,-0.27
Northern,1965,-0.02,-0.37,-0.1,-0.26,-0.13,-0.2,-0.18,-0.2,-0.2,-0.02,0.05,-0.08,-0.14,-0.16,-0.22,-0.16,-0.2,-0.06
Northern,1966,-0.25,0.03,0,-0.22,-0.05,0.06,0.11,0.14,0.06,-0.1,0.02,-0.03,-0.02,-0.02,-0.1,-0.09,0.1,0
Northern,1967,-0.17,-0.37,0.23,0.05,0.21,-0.06,0.05,0.06,-0.03,0.29,0.04,0.02,0.03,0.02,-0.19,0.16,0.02,0.1
Northern,1968,-0.29,-0.16,0.44,0,-0.06,-0.04,-0.08,-0.08,-0.04,0,-0.22,-0.33,-0.07,-0.04,-0.14,0.13,-0.07,-0.09
Northern,1969,-0.43,-0.45,-0.2,0.03,0.11,-0.04,0.06,0.05,0.04,0.03,0.15,0.31,-0.03,-0.08,-0.4,-0.02,0.02,0.07
Northern,1970,-0.02,0.28,-0.07,-0.02,0,0.02,-0.04,-0.05,-0.05,-0.2,0.01,-0.31,-0.04,0.01,0.19,-0.03,-0.03,-0.08
Northern,1971,-0.14,-0.21,-0.28,-0.2,-0.12,-0.14,-0.13,-0.16,-0.14,-0.16,-0.02,-0.13,-0.15,-0.17,-0.22,-0.2,-0.14,-0.1
Northern,1972,-0.54,-0.52,0.01,-0.11,-0.15,-0.1,-0.05,-0.09,-0.26,-0.04,-0.2,-0.05,-0.17,-0.18,-0.4,-0.09,-0.08,-0.17
Northern,1973,0.15,0.44,0.32,0.19,0.09,0.16,0.04,0.03,-0.08,-0.07,-0.09,-0.04,0.09,0.09,0.18,0.2,0.08,-0.08
Northern,1974,-0.25,-0.35,0.02,-0.1,-0.19,-0.18,-0.12,-0.11,-0.16,-0.23,-0.2,-0.27,-0.18,-0.16,-0.21,-0.09,-0.14,-0.2
Northern,1975,0.16,0.09,0.1,0.05,-0.02,-0.08,-0.06,-0.13,-0.08,-0.18,-0.3,-0.22,-0.05,-0.06,0,0.05,-0.09,-0.19
Northern,1976,0.05,-0.12,-0.31,0.02,-0.26,-0.2,-0.26,-0.21,-0.12,-0.51,-0.31,-0.25,-0.21,-0.2,-0.1,-0.18,-0.22,-0.31
Northern,1977,-0.16,0.11,0.27,0.25,0.23,0.23,0.09,0.02,0.13,-0.02,0.28,0.02,0.12,0.1,-0.1,0.25,0.11,0.13
Northern,1978,0.16,0.04,0.21,0.07,-0.06,-0.14,-0.07,-0.14,-0.01,0,0.16,0.02,0.02,0.02,0.08,0.08,-0.12,0.05
Northern,1979,-0.05,-0.35,0.18,-0.17,0.01,0.08,0.05,0.04,0.19,0.23,0.24,0.55,0.08,0.04,-0.13,0.01,0.06,0.22
Northern,1980,0.21,0.41,0.07,0.15,0.26,0.19,0.14,0.09,0.1,0.11,0.2,0.09,0.17,0.21,0.39,0.16,0.14,0.14
Northern,1981,0.79,0.63,0.67,0.39,0.18,0.28,0.09,0.16,0.14,0.23,0.35,0.54,0.37,0.33,0.5,0.42,0.18,0.24
Northern,1982,-0.13,0.17,0.06,0.17,0.09,0.01,0.05,-0.07,0.06,0,-0.11,0.38,0.06,0.07,0.19,0.11,0,-0.02
Northern,1983,0.55,0.35,0.42,0.07,0.06,0.11,0.21,0.26,0.26,0.12,0.49,0.11,0.25,0.27,0.43,0.18,0.19,0.29
Northern,1984,0.34,0.03,0.18,-0.07,0.23,0.09,0.09,0.06,-0.03,0.09,-0.1,-0.42,0.04,0.08,0.16,0.12,0.08,-0.02
Northern,1985,0.07,-0.29,0,-0.03,0.09,0.01,-0.07,-0.02,0.03,0.03,0.02,0.16,0,-0.05,-0.21,0.02,-0.03,0.03
Northern,1986,0.36,0.31,0.26,0.15,0.2,0.14,-0.02,0.04,-0.02,0.09,0.04,0.06,0.13,0.14,0.28,0.2,0.06,0.04
Northern,1987,0.25,0.5,0,0.07,0.23,0.17,0.26,0.27,0.39,0.22,0.11,0.51,0.25,0.21,0.27,0.1,0.23,0.24
Northern,1988,0.59,0.46,0.47,0.44,0.43,0.4,0.42,0.26,0.26,0.23,0.06,0.43,0.37,0.38,0.52,0.45,0.36,0.19
Northern,1989,0.08,0.39,0.46,0.32,0.23,0.24,0.32,0.26,0.25,0.25,0.12,0.34,0.27,0.28,0.3,0.33,0.27,0.2
Northern,1990,0.48,0.55,1.17,0.71,0.5,0.48,0.33,0.41,0.42,0.48,0.46,0.39,0.53,0.53,0.45,0.79,0.41,0.45
Northern,1991,0.6,0.57,0.46,0.56,0.33,0.47,0.43,0.35,0.36,0.29,0.33,0.21,0.41,0.43,0.52,0.45,0.42,0.33
Northern,1992,0.61,0.5,0.55,0.16,0.19,0.05,-0.1,-0.07,-0.18,-0.17,-0.08,0.22,0.14,0.14,0.44,0.3,-0.04,-0.14
Northern,1993,0.39,0.52,0.39,0.23,0.32,0.22,0.12,0.03,-0.06,0.12,-0.21,0.22,0.19,0.19,0.38,0.31,0.12,-0.05
Northern,1994,0.34,-0.04,0.49,0.49,0.39,0.42,0.34,0.33,0.33,0.55,0.5,0.37,0.37,0.36,0.17,0.46,0.36,0.46
Northern,1995,0.75,1.19,0.59,0.72,0.41,0.51,0.38,0.54,0.43,0.6,0.57,0.27,0.58,0.59,0.77,0.57,0.47,0.53
Northern,1996,0.27,0.55,0.32,0.18,0.35,0.25,0.29,0.19,0.04,0.05,0.35,0.35,0.27,0.26,0.36,0.28,0.24,0.15
Northern,1997,0.34,0.6,0.74,0.49,0.42,0.49,0.41,0.48,0.52,0.63,0.59,0.51,0.52,0.51,0.43,0.55,0.46,0.58
Northern,1998,0.62,1.04,0.72,0.87,0.66,0.73,0.75,0.72,0.61,0.54,0.49,0.73,0.71,0.69,0.72,0.75,0.73,0.55
Northern,1999,0.59,1,0.29,0.54,0.36,0.35,0.36,0.31,0.4,0.4,0.53,0.66,0.48,0.49,0.78,0.4,0.34,0.44
Northern,2000,0.38,0.89,0.83,0.89,0.55,0.44,0.42,0.47,0.37,0.29,0.2,0.27,0.5,0.53,0.65,0.76,0.44,0.28
Northern,2001,0.57,0.46,0.76,0.6,0.69,0.51,0.63,0.68,0.56,0.6,0.98,0.65,0.64,0.61,0.43,0.68,0.61,0.71
Northern,2002,1.02,1.14,1.11,0.51,0.52,0.68,0.66,0.55,0.62,0.54,0.79,0.42,0.71,0.73,0.94,0.71,0.63,0.65
Northern,2003,0.93,0.56,0.66,0.61,0.72,0.55,0.68,0.86,0.78,0.99,0.66,0.98,0.75,0.7,0.64,0.66,0.7,0.81
Northern,2004,0.67,0.92,0.87,0.7,0.52,0.47,0.5,0.55,0.6,0.7,0.98,0.45,0.66,0.7,0.86,0.7,0.51,0.76
Northern,2005,0.94,0.72,0.95,0.93,0.78,0.79,0.75,0.7,0.9,0.95,1.06,0.84,0.86,0.83,0.7,0.88,0.75,0.97
Northern,2006,0.66,0.96,0.78,0.6,0.76,0.81,0.7,0.69,0.82,0.96,0.95,1.16,0.82,0.79,0.82,0.71,0.73,0.91
Northern,2007,1.46,0.9,0.96,1.07,0.73,0.66,0.66,0.73,0.67,0.84,0.82,0.77,0.86,0.89,1.17,0.92,0.68,0.78
Northern,2008,0.34,0.59,1.14,0.65,0.6,0.62,0.6,0.6,0.58,0.86,0.97,0.66,0.68,0.69,0.57,0.8,0.61,0.8
Northern,2009,0.82,0.7,0.6,0.71,0.66,0.68,0.69,0.72,0.85,0.79,0.85,0.67,0.73,0.73,0.73,0.65,0.7,0.83
Northern,2010,0.81,0.94,1.1,1.13,0.94,0.85,0.89,0.87,0.71,0.9,1.21,0.5,0.9,0.92,0.81,1.06,0.87,0.94
Northern,2011,0.61,0.57,0.88,0.85,0.66,0.76,0.73,0.71,0.74,0.91,0.66,0.88,0.75,0.71,0.56,0.8,0.73,0.77
Northern,2012,0.68,0.59,0.72,1.07,0.97,0.94,0.86,0.76,0.87,0.92,0.98,0.46,0.82,0.85,0.72,0.92,0.85,0.92
Northern,2013,0.85,0.79,0.81,0.69,0.78,0.77,0.7,0.74,0.7,0.83,1.13,0.84,0.8,0.77,0.7,0.76,0.74,0.89
Northern,2014,0.97,0.72,1.2,1.09,0.91,0.82,0.77,0.91,0.84,0.94,0.81,1.11,0.92,0.9,0.84,1.06,0.84,0.86
Northern,2015,1.18,1.2,1.33,1.03,1.05,1.06,0.92,1.02,1.18,1.3,1.39,1.54,1.18,1.15,1.16,1.13,1,1.29
Northern,2016,1.55,1.95,1.91,1.49,1.12,1.13,1.05,1.13,1.23,1.04,1.12,1.05,1.31,1.35,1.68,1.51,1.1,1.13
Northern,2017,1.41,1.53,1.52,1.21,0.93,0.93,0.97,1.02,1.01,1.05,1.23,1.4,1.18,1.15,1.33,1.22,0.98,1.1
Northern,2018,1.15,1.25,1.18,0.98,1.02,0.87,0.91,0.87,0.97,1.25,0.98,1.11,1.05,1.07,1.27,1.06,0.88,1.07
Northern,2019,1.21,1.14,1.56,1.26,0.99,1.2,1.04,1.1,1.22,1.32,1.21,1.41,1.22,1.2,1.15,1.27,1.11,1.25
Northern,2020,1.6,1.72,1.68,1.41,1.28,1.14,1.11,1.14,1.21,1.23,1.62,1.2,1.36,1.38,1.57,1.46,1.13,1.35
